State,GoodDays,Moderate Days,UnhealthyDays,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Alabama,264,16,0,0,0,0,0,61,48,35,0,0,221,59,0
Alabama,101,9,0,0,0,0,0,67,47,27,0,0,0,110,0
Alabama,331,30,0,0,0,0,0,84,49,36,0,0,320,41,0
Alabama,238,3,0,0,0,0,0,87,44,32,0,0,241,0,0
Alabama,253,33,0,0,0,0,0,77,51,36,0,0,213,73,0
Alabama,174,186,5,3,2,0,0,179,77,51,0,1,83,280,1
Alabama,98,2,0,0,0,0,0,55,43,21,0,0,0,100,0
Alabama,269,86,2,2,0,0,0,105,58,41,0,0,119,225,13
Alabama,270,91,0,0,0,0,0,81,57,44,0,0,78,283,0
Alabama,294,60,0,0,0,0,0,93,55,37,0,0,151,203,0
Alabama,293,72,0,0,0,0,0,96,58,39,0,0,119,246,0
Alabama,285,76,3,3,0,0,0,142,60,38,0,0,103,261,0
Alabama,231,12,0,0,0,0,0,77,48,35,0,0,243,0,0
Alabama,338,17,0,0,0,0,0,68,45,29,0,0,166,189,0
Alabama,265,16,0,0,0,0,0,90,46,31,0,0,204,77,0
Alaska,118,0,0,0,0,0,0,38,22,10,0,0,0,118,0
Alaska,313,50,2,2,0,0,0,132,53,22,2,0,0,244,119
Alaska,360,3,0,0,0,0,0,74,41,33,0,0,361,2,0
Alaska,254,77,34,21,13,0,0,179,97,35,0,0,99,264,2
Alaska,331,26,0,0,0,0,0,88,42,15,0,0,0,350,7
Alaska,121,0,0,0,0,0,0,30,14,7,0,0,0,121,0
Alaska,323,28,3,2,1,0,0,160,47,12,0,0,0,281,73
Alaska,114,0,0,0,0,0,0,42,11,4,0,0,0,114,0
Arizona,355,4,0,0,0,0,0,88,29,14,0,0,0,41,318
Arizona,259,104,2,2,0,0,0,105,60,45,0,0,308,0,57
Arizona,268,97,0,0,0,0,0,93,64,45,0,0,360,5,0
Arizona,240,115,10,8,2,0,0,180,80,45,0,0,345,0,20
Arizona,257,104,1,0,1,0,0,187,71,45,0,0,357,1,4
Arizona,15,125,225,91,61,73,0,272,213,122,0,1,298,18,48
Arizona,360,2,1,0,1,0,0,156,34,19,0,0,0,0,363
Arizona,293,71,1,1,0,0,0,101,61,44,0,0,338,1,26
Arizona,143,208,14,13,0,0,1,315,85,53,0,0,200,58,107
Arizona,80,240,45,44,1,0,0,166,105,69,0,0,153,20,192
Arizona,216,142,2,1,1,0,0,166,70,43,0,0,0,218,142
Arizona,302,29,0,0,0,0,0,64,50,44,0,0,331,0,0
Arizona,231,128,6,5,1,0,0,170,71,46,0,0,229,71,65
Arkansas,106,14,0,0,0,0,0,73,52,30,0,0,0,120,0
Arkansas,104,16,0,0,0,0,0,61,53,31,0,0,0,120,0
Arkansas,328,10,0,0,0,0,0,90,45,32,0,0,338,0,0
Arkansas,294,67,4,4,0,0,0,122,58,40,0,7,196,162,0
Arkansas,96,24,0,0,0,0,0,77,55,34,0,0,0,120,0
Arkansas,101,19,0,0,0,0,0,84,55,29,0,0,0,120,0
Arkansas,347,18,0,0,0,0,0,74,47,36,0,0,349,16,0
Arkansas,319,41,0,0,0,0,0,92,53,38,0,0,311,49,0
Arkansas,213,150,2,2,0,0,0,112,70,47,0,6,102,257,0
Arkansas,92,24,0,0,0,0,0,71,54,36,0,0,0,116,0
Arkansas,269,95,1,1,0,0,0,119,62,41,0,0,209,156,0
California,223,132,10,9,1,0,0,151,68,45,0,8,177,180,0
California,307,54,4,4,0,0,0,133,67,37,0,0,365,0,0
California,198,136,31,18,11,2,0,233,90,48,0,0,222,140,3
California,264,91,9,6,3,0,0,171,76,44,0,0,257,107,0
California,209,140,16,9,7,0,0,199,73,46,0,0,81,265,19
California,255,105,5,5,0,0,0,150,67,42,0,0,217,148,0
California,303,20,0,0,0,0,0,69,45,23,0,0,0,323,0
California,248,95,22,16,4,1,1,385,93,43,0,0,352,6,7
California,102,181,82,63,18,1,0,278,130,67,0,1,186,161,17
California,282,68,15,9,6,0,0,181,61,39,0,0,235,114,16
California,353,12,0,0,0,0,0,60,40,28,12,0,234,60,59
California,113,223,29,22,4,1,2,442,97,58,0,1,161,65,138
California,131,191,43,25,13,2,3,552,115,58,0,0,181,153,31
California,65,172,128,97,29,1,1,316,147,84,0,0,185,159,21
California,113,201,51,40,10,0,1,666,109,61,0,0,139,139,87
California,350,5,1,0,1,0,0,156,43,33,0,0,341,13,2
California,39,229,97,70,26,1,0,281,143,77,0,24,166,168,7
California,157,173,35,28,7,0,0,194,100,56,0,0,237,103,25
California,313,52,0,0,0,0,0,87,54,34,0,6,205,154,0
California,212,121,32,25,7,0,0,161,97,47,0,0,327,38,0
California,273,84,8,6,2,0,0,176,65,38,0,0,144,220,1
California,184,148,33,31,2,0,0,162,100,50,0,0,247,113,5
California,279,59,26,12,11,0,3,2723,82,21,0,0,0,228,136
California,321,44,0,0,0,0,0,80,52,37,0,0,239,108,18
California,127,13,0,0,0,0,0,77,50,38,1,0,101,38,0
California,221,91,53,34,15,4,0,288,115,45,0,0,240,125,0
California,201,146,18,18,0,0,0,148,86,49,0,10,210,140,5
California,165,152,48,30,11,5,2,448,115,54,0,0,261,102,2
California,123,158,84,37,26,14,7,436,165,63,0,0,0,365,0
California,42,187,136,89,44,2,1,332,158,87,0,0,209,105,51
California,189,140,36,30,5,0,1,316,100,50,0,0,241,120,4
California,320,45,0,0,0,0,0,100,54,40,0,0,338,20,7
California,42,177,146,73,61,11,1,487,172,87,0,16,215,119,15
California,98,251,16,16,0,0,0,133,90,64,0,4,217,141,3
California,310,55,0,0,0,0,0,84,55,36,0,13,212,140,0
California,178,171,16,15,1,0,0,153,84,51,0,0,170,165,30
California,209,148,8,8,0,0,0,133,77,48,0,0,246,92,27
California,329,36,0,0,0,0,0,89,50,33,0,9,247,109,0
California,300,64,1,1,0,0,0,101,55,41,0,0,278,84,3
California,228,130,7,7,0,0,0,147,71,44,0,1,178,186,0
California,339,26,0,0,0,0,0,77,47,34,0,0,256,109,0
California,234,99,32,15,15,2,0,216,93,45,0,0,297,68,0
California,270,63,31,7,24,0,0,192,84,40,0,0,219,145,0
